MetaboliteName;KEGG_Pathways_Total_Metabolites;KEGG.ID;CommonName;CAS;PubChem;ChEBI;mzPos;mzNEG;RT;PathwayID;PathwayName;"PathwayClass;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;
"3,4-Dihydroxyphenylethyleneglycol,""3,4-Dihydroxyphenylethyleneglycol"",C05576,""3,4-Dihydroxyphenylethyleneglycol"",3343-19-9,7902,1387,171.06519,169.05063,2.06,hsa00350,Tyrosine metabolism,Metabolism; Amino acid metabolism;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;;;;;;;;;;;;;
Glycerol 3-phosphate;sn-Glycerol 3-phosphate;C00093;"sn-Glycerol 3-phosphate; Glycerophosphoric acid; D-Glycerol 1-phosphate";17989-41-2;3393;15978;173.02095;171.0064;7.94;"hsa00561; hsa00564; hsa02010; hsa05231";"Glycerolipid metabolism; Glycerophospholipid metabolism; ABC transporters; Choline metabolism in cancer";"Metabolism; Lipid metabolism; Environmental Information Processing; Membrane transport; Human Diseases; Cancer: overview;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;
Gly-Pro;NA;NA;NA;NA;NA;NA;173.09207;171.07752;5.15;NA;NA;"NA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;
Pro-Gly (prolylglycine);NA;NA;NA;NA;NA;NA;173.09207;171.07752;6.46;NA;NA;"NA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;
Capric acid;Decanoic acid;C01571;"Decanoic acid; Decanoate; Decylic acid; n-Capric acid";334-48-5;4728;2 768 930 813;173.15361;171.13905;0;hsa00061;Fatty acid biosynthesis;"Metabolism; Lipid metabolism;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;
Hexanoyl glycine;NA;NA;NA;NA;NA;NA;174.11247;172.09792;3.29;NA;NA;"NA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;
N-Acetyl-D-allo-isoleucine;NA;NA;NA;NA;NA;NA;174.11247;172.09792;2.44;NA;NA;"NA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;
N-Acetyl-L-leucine;NA;C02710;N-Acetyl-L-leucine;1188-21-2;5673;17786;174.11247;172.09792;2.4;NA;NA;"NA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;
"p-Phenolsulfonicacid (Phenol-4-sulfonic acid; 4-Hydroxybenenesulfonic acid)";NA;NA;NA;NA;NA;NA;175.00596;172.9914;2.16;NA;NA;"NA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;
cis-Aconitic acid;cis-Aconitate;C00417;"cis-Aconitate; cis-Aconitic acid";585-84-2;3707;1 638 332 805;175.02371;173.00916;6.04;"hsa00020; hsa00630";"Citrate cycle (TCA cycle); Glyoxylate and dicarboxylate metabolism";"Metabolism; Carbohydrate metabolism;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;
Dehydroascorbic acid;NA;C05422;"Dehydroascorbate; Dehydroascorbic acid; L-Dehydroascorbate; L-Dehydroascorbic acid";490-83-5;7786;27956;175.02371;173.00916;4.06;"hsa00053; hsa00480";"Ascorbate and aldarate metabolism; Glutathione metabolism";"Metabolism; Carbohydrate metabolism; Metabolism of other amino acids;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;
trans-Aconitic acid;NA;C02341;"trans-Aconitate; trans-Aconitic acid";4023-65-8;5390;1 570 832 806;175.02371;173.00916;0;NA;NA;"NA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;
"Shikimic acid,NA,C00493,""Shikimate; Shikimic acid;"" 3";4;"5-Trihydroxy-1-cyclohexenecarboxylic acid""""";138-59-0;3776;16119;175.0601;173.04555;0;hsa00400;Phenylalanine;" tyrosine and tryptophan biosynthesis""""";"Metabolism""; Amino acid metabolism;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;
"Suberic acid,NA,C08278,""Suberic acid; Cork acid; 1";"8-Octanedioic acid; Octanedioic acid;"" 1";"6-Hexanedicarboxylic acid""""";505-48-6;10476;9300;175.09649;173.08193;6.72;NA;NA;"NA"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;;
N-Acetyl-ornithine;NA;NA;NA;NA;NA;NA;175.10772;173.09317;7.56;NA;NA;"NA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;
Arginine;L-Arginine;C00062;"L-Arginine; (S)-2-Amino-5-guanidinovaleric acid; L-Arg";74-79-3;3362;16467;175.11895;173.1044;9.67;"hsa00220; hsa00330; hsa00470; hsa00970; hsa02010; hsa04150; hsa04974; hsa05014; hsa05022; hsa05142; hsa05146; hsa05230";"Arginine biosynthesis; Arginine and proline metabolism; D-Amino acid metabolism; Aminoacyl-tRNA biosynthesis; ABC transporters; mTOR signaling pathway; Protein digestion and absorption; Amyotrophic lateral sclerosis; Pathways of neurodegeneration - multiple diseases; Chagas disease; Amoebiasis; Central carbon metabolism in cancer";"Metabolism; Amino acid metabolism; Metabolism of other amino acids; Genetic Information Processing; Translation; Environmental Information Processing; Membrane transport; Signal transduction; Organismal Systems; Digestive system; Human Diseases; Neurodegenerative disease; Infectious disease: parasitic; Cancer: overview;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;
N-Methyltryptamine;N-Methyltryptamine;C06213;"N-Methyltryptamine; N-Methylindoleethylamine; 1-Methyl-2-(3-indolyl)ethylamine";61-49-4;8460;28136;175.12298;173.10842;4.65;hsa00380;Tryptophan metabolism;"Metabolism; Amino acid metabolism;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;
N-Acetyl-L-aspartic acid;N-Acetyl-L-aspartate;C01042;"N-Acetyl-L-aspartate;"" N-Acetyl-L-aspartic acid";997-55-7;4284;1 695 321 547;176.05535;174.0408;7.87;hsa00250;Alanine;" aspartate and glutamate metabolism""""";"Metabolism""; Amino acid metabolism;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;
Guanidinosuccinic acid;NA;C03139;"N-Amidino-L-aspartate; N-Amidino-L-aspartic acid; Guanidinosuccinic acid";6133-30-8;6028;17072;176.06658;174.05203;8.26;NA;NA;"NA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;
Indoleacetic acid;Indole-3-acetate;C00954;"Indole-3-acetate; Indole-3-acetic acid; (Indol-3-yl)acetate; Indoleacetate; Indoleacetic acid; (1H-indol-3-yl)acetate; IAA";87-51-4;4205;16411;176.07061;174.05605;3.37;hsa00380;Tryptophan metabolism;"Metabolism; Amino acid metabolism;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;
Indoxyl acetate;NA;NA;NA;NA;NA;NA;176.07061;174.05605;1.93;NA;NA;"NA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;
L-Citrulline;L-Citrulline;C00327;"L-Citrulline; 2-Amino-5-ureidovaleric acid; Citrulline";372-75-8;3621;16349;176.10297;174.08841;7.48;hsa00220;Arginine biosynthesis;"Metabolism; Amino acid metabolism;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;
Ascorbic acid;NA;C00072;"Ascorbate; Ascorbic acid; L-Ascorbate; L-Ascorbic acid; Vitamin C";50-81-7;3372;2 907 338 290;177.03936;175.02481;7.21;"hsa00053; hsa00480; hsa04066; hsa04977";"Ascorbate and aldarate metabolism; Glutathione metabolism; HIF-1 signaling pathway; Vitamin digestion and absorption";"Metabolism; Carbohydrate metabolism; Metabolism of other amino acids; Environmental Information Processing; Signal transduction; Organismal Systems; Digestive system;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;
D-(+)-Glucuronic acid gamma-lactone;NA;NA;NA;NA;NA;NA;177.03936;175.02481;0;NA;NA;"NA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;
2-Isopropylmalic acid;NA;C02504;"alpha-Isopropylmalate; (2S)-2-Isopropylmalate; (2S)-2-Hydroxy-2-isopropylsuccinic acid; 2-Isopropylmalic acid; 3-Carboxy-3-hydroxy-4-methylpentanoate; 3-Carboxy-3-hydroxyisocaproate; (2S)-2-Isopropylmalic acid";NA;5516;117 835 128;177.07575;175.0612;6.55;"hsa00290;"" hsa00620";Valine;" leucine and isoleucine biosynthesis"";"" Pyruvate metabolism""""";"Metabolism""; Amino acid metabolism; Carbohydrate metabolism;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;
"3-isopropylmalic acid,NA,C04411,""(2R,3S)-3-Isopropylmalate; 3-Isopropylmalate; 3-Carboxy-2-hydroxy-4-methylpentanoate;"" 2-D-threo-Hydroxy-3-carboxy-isocaproate""""";NA;7045;3 512 143 468;177.07575;175.0612;6.68;hsa00290;Valine;" leucine and isoleucine biosynthesis""""";"Metabolism""; Amino acid metabolism;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;;;
"Dimethyl 3-hydroxyglutarate,NA,C00489,""Glutarate; Glutaric acid; Pentanedioic acid;"" 1";"3-Propanedicarboxylic acid""""";110-94-1;3772;17859;177.07575;175.0612;7.13;"hsa00071""; hsa00310";"Fatty acid degradation; Lysine degradation";"Metabolism; Lipid metabolism; Amino acid metabolism;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;;;
Cotinine;NA;NA;NA;NA;NA;NA;177.10224;175.08769;2.26;NA;NA;"NA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;
Serotonin;Serotonin;C00780;"Serotonin; 3-(2-Aminoethyl)-1H-indol-5-ol; 5-Hydroxytryptamine; Enteramine";50-67-9;4041;28790;177.10224;175.08769;6.48;"hsa00380; hsa04024; hsa04080; hsa04540; hsa04721; hsa04726; hsa04742; hsa04750; hsa04976; hsa05207";"Tryptophan metabolism; cAMP signaling pathway; Neuroactive ligand-receptor interaction; Gap junction; Synaptic vesicle cycle; Serotonergic synapse; Taste transduction; Inflammatory mediator regulation of TRP channels; Bile secretion; Chemical carcinogenesis - receptor activation";"Metabolism; Amino acid metabolism; Environmental Information Processing; Signal transduction; Signaling molecules and interaction; Cellular Processes; Cellular community - eukaryotes; Organismal Systems; Nervous system; Sensory system; Digestive system; Human Diseases; Cancer: overview;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;
N-Formyl-L-methionine;NA;C03145;"N-Formylmethionine; N-Formyl-L-methionine";4289-98-9;6033;16552;178.05324;176.03869;2.74;hsa00270;Cysteine and methionine metabolism;"Metabolism; Amino acid metabolism;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;
Cysteinylglycine (Cys-Gly);Cys-Gly;C01419;"Cys-Gly; L-Cysteinylglycine";19246-18-5;4606;4047;179.04849;177.03394;0;hsa00480;Glutathione metabolism;"Metabolism; Metabolism of other amino acids;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;
Xanthopterin;NA;NA;NA;NA;NA;NA;180.0516;178.03705;7.5;NA;NA;"NA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;
3-succinoylpyridine;NA;C19569;"3-Succinoylpyridine; 4-Oxo-4-(pyridin-3-yl)butanoate";4192-31-8;124490241;66951;180.06552;178.05097;2.81;"hsa00760; hsa00980; hsa05204";"Nicotinate and nicotinamide metabolism; Metabolism of xenobiotics by cytochrome P450; Chemical carcinogenesis - DNA adducts";"Metabolism; Metabolism of cofactors and vitamins; Xenobiotics biodegradation and metabolism; Human Diseases; Cancer: overview;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;
Hippuric acid;Hippurate;C01586;"Hippurate; Hippuric acid; N-Benzoylglycine; Benzoylaminoacetic acid";495-69-2;4741;18089;180.06552;178.05097;2.55;NA;NA;"NA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;
(?)-Salsolinol;NA;NA;NA;NA;NA;NA;180.10191;178.08735;0;NA;NA;"NA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;
"Caffeic acid,NA,C01197,""Caffeate; Caffeic acid; 3";"4-Dihydroxy-trans-cinnamate; trans-Caffeate;"" (2E)-3-(3";"4-Dihydroxyphenyl)prop-2-enoate""""";501-16-6;4422;16433;181.04954;179.03498;0;NA;NA;"NA"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;;
Hydroxyphenylpyruvic acid;NA;NA;NA;NA;NA;NA;181.04954;179.03498;0;NA;NA;"NA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;
Nicotinuric acid;NA;C05380;"Nicotinurate; Nicotinuric acid; Nicotinylglycine";583-08-4;7754;7563;181.06077;179.04622;3.41;hsa00760;Nicotinate and nicotinamide metabolism;"Metabolism; Metabolism of cofactors and vitamins;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;
Allose;NA;C01487;D-Allose;2595-97-3;4657;4093;181.07066;179.05611;0;"hsa00051; hsa02010";"Fructose and mannose metabolism; ABC transporters";"Metabolism; Carbohydrate metabolism; Environmental Information Processing; Membrane transport;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;
D-Fructose;D-Fructose;C00095;"D-Fructose; Levulose; Fruit sugar; D-arabino-Hexulose";57-48-7;3395;1 582 437 721;181.07066;179.05611;0;"hsa00051; hsa00052; hsa00500; hsa02010; hsa04742; hsa04931; hsa04973; hsa05415";"Fructose and mannose metabolism; Galactose metabolism; Starch and sucrose metabolism; ABC transporters; Taste transduction; Insulin resistance; Carbohydrate digestion and absorption; Diabetic cardiomyopathy";"Metabolism; Carbohydrate metabolism; Environmental Information Processing; Membrane transport; Organismal Systems; Sensory system; Human Diseases; Endocrine and metabolic disease; Digestive system; Cardiovascular disease;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;
D-Galactose;D-Galactose;C00124;"D-Galactose; D-Galactopyranose";59-23-4 10257-28-0;3424;4139;181.07066;179.05611;7.56;"hsa00052; hsa04973; hsa04978";"Galactose metabolism; Carbohydrate digestion and absorption; Mineral absorption";"Metabolism; Carbohydrate metabolism; Organismal Systems; Digestive system;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;
D-Mannose;D-Mannose;C00159;"D-Mannose; Mannose; Seminose; Carubinose; D-Mannopyranose";3458-28-4 31103-86-3;3459;4208;181.07066;179.05611;6.94;"hsa00051; hsa00052; hsa00520; hsa02010; hsa04142; hsa04625";"Fructose and mannose metabolism; Galactose metabolism; Amino sugar and nucleotide sugar metabolism; ABC transporters; Lysosome; C-type lectin receptor signaling pathway";"Metabolism; Carbohydrate metabolism; Environmental Information Processing; Membrane transport; Cellular Processes; Transport and catabolism; Organismal Systems; Immune system;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;
